Date,Open,High,Low,Close,Adj Close,Volume
2016-05-31,3104.300049,3124.300049,3070.0,3099.149902,2951.652588,67926.0
2016-06-01,3100.050049,3132.0,3068.649902,3087.300049,2940.366699,51743.0
2016-06-02,3087.300049,3144.0,3060.100098,3137.300049,2987.987061,21880.0
2016-06-03,3152.0,3207.899902,3100.050049,3146.800049,2997.034912,33134.0
2016-06-06,3140.0,3154.0,3090.0,3102.0,2954.367188,15941.0
2016-06-07,3125.0,3146.449951,3111.699951,3127.899902,2979.034424,13686.0
2016-06-08,3130.0,3180.0,3111.800049,3170.399902,3019.511963,11949.0
2016-06-09,3160.0,3170.350098,3072.0,3083.25,2936.509277,25167.0
2016-06-10,3055.0,3111.0,3055.0,3067.449951,2921.46167,14514.0
2016-06-13,3067.449951,3067.449951,3017.5,3039.199951,2894.555664,30161.0
2016-06-14,3036.449951,3039.949951,2990.5,3011.550049,2868.222168,64969.0
2016-06-15,3027.649902,3086.449951,3022.050049,3066.699951,2920.746826,28933.0
2016-06-16,3042.199951,3054.949951,3016.199951,3023.399902,2879.507568,11174.0
2016-06-17,3043.350098,3043.350098,3015.0,3028.199951,2884.07959,11391.0
2016-06-20,3005.850098,3092.0,3005.850098,3048.649902,2903.556152,11943.0
2016-06-21,3055.0,3074.0,3036.5,3048.75,2903.651611,9218.0
2016-06-22,3050.100098,3074.100098,3027.199951,3068.600098,2922.556641,13409.0
2016-06-23,3077.550049,3083.800049,3038.75,3062.699951,2916.937256,9115.0
2016-06-24,3062.699951,3076.0,2956.0,3055.949951,2910.508545,117396.0
2016-06-27,3028.949951,3082.0,3025.0,3054.600098,2909.223145,15771.0
2016-06-28,3080.0,3080.0,3011.0,3025.5,2881.507813,17239.0
2016-06-29,3035.050049,3154.899902,3035.050049,3145.0,2995.320557,34643.0
2016-06-30,3157.0,3222.350098,2987.800049,3180.850098,3029.464355,41156.0
2016-07-01,3185.5,3199.899902,3160.350098,3176.649902,3025.463867,19361.0
2016-07-04,3225.0,3225.0,3146.199951,3161.75,3011.273193,22645.0
2016-07-05,3159.800049,3161.699951,3105.0,3111.5,2963.415039,12485.0
2016-07-07,3130.0,3135.0,3090.699951,3101.300049,2953.700439,16364.0
2016-07-08,3125.0,3170.0,3117.550049,3160.199951,3009.797119,17413.0
2016-07-11,3170.0,3244.199951,3170.0,3236.550049,3082.513428,63863.0
2016-07-12,3250.0,3259.350098,3223.5,3243.75,3089.37085,17364.0
2016-07-13,3250.0,3259.949951,3220.0,3235.550049,3081.561279,11449.0
2016-07-14,3229.0,3271.0,3205.899902,3251.300049,3096.561523,27070.0
2016-07-15,3270.0,3289.0,3220.449951,3237.699951,3083.608643,15744.0
2016-07-18,3253.649902,3291.149902,3240.0,3254.5,3099.609375,21867.0
2016-07-19,3260.0,3261.850098,3208.0,3229.399902,3075.703857,18505.0
2016-07-20,3240.0,3283.0,3235.149902,3276.600098,3120.657471,11684.0
2016-07-21,3300.0,3306.100098,3260.300049,3265.649902,3110.22876,8983.0
2016-07-22,3272.25,3285.850098,3254.050049,3260.350098,3105.180908,6927.0
2016-07-25,3260.350098,3285.5,3250.0,3279.699951,3123.609863,14658.0
2016-07-26,3280.0,3281.0,3173.0,3210.300049,3057.512939,20255.0
2016-07-27,3210.300049,3257.149902,3189.899902,3203.5,3051.036621,9284.0
2016-07-28,3203.600098,3229.449951,3150.0,3192.300049,3040.369385,37140.0
2016-07-29,3190.0,3243.699951,3176.550049,3206.449951,3053.845947,16614.0
2016-08-01,3211.0,3395.0,3200.0,3219.350098,3066.132324,17260.0
2016-08-02,3220.0,3279.0,3201.949951,3260.0,3104.847412,70584.0
2016-08-03,3278.100098,3305.899902,3210.5,3237.100098,3083.037598,32997.0
2016-08-04,3255.0,3305.0,3250.0,3270.100098,3114.466797,24298.0
2016-08-05,3299.949951,3455.649902,3287.25,3434.300049,3270.852051,47626.0
2016-08-08,3525.0,3553.550049,3410.0,3456.800049,3292.28125,135264.0
2016-08-09,3464.0,3490.0,3394.300049,3407.300049,3245.136963,101733.0
2016-08-10,3424.0,3442.850098,3303.0,3320.5,3162.468262,45147.0
2016-08-11,3317.0,3369.949951,3291.600098,3303.800049,3146.562988,22305.0
2016-08-12,3310.0,3364.850098,3301.5,3313.300049,3155.61084,26300.0
2016-08-16,3315.0,3320.0,3281.0,3294.699951,3137.895752,9699.0
2016-08-17,3313.5,3429.0,3308.050049,3360.149902,3200.230957,44902.0
2016-08-18,3360.0,3410.0,3356.600098,3369.399902,3209.040771,28677.0
2016-08-19,3380.0,3380.0,3343.800049,3359.25,3199.374023,12184.0
2016-08-22,3365.0,3365.0,3306.800049,3337.949951,3179.087402,14527.0
2016-08-23,3382.0,3382.0,3296.149902,3306.449951,3149.086914,19452.0
2016-08-24,3306.449951,3323.0,3287.899902,3309.5,3151.991455,16451.0
2016-08-25,3305.0,3332.949951,3290.0,3303.75,3146.515137,14644.0
2016-08-26,3322.25,3334.0,3300.0,3316.800049,3158.944336,13711.0
2016-08-29,3316.5,3415.0,3282.0,3405.75,3243.660889,30877.0
2016-08-30,3414.0,3483.399902,3414.0,3473.350098,3308.043457,37451.0
2016-08-31,3480.0,3576.0,3480.0,3547.5,3378.664551,44367.0
2016-09-01,3551.0,3597.149902,3520.0,3546.899902,3378.093018,27077.0
2016-09-02,3580.0,3614.350098,3553.850098,3578.550049,3408.236816,29526.0
2016-09-06,3581.0,3650.0,3581.0,3614.050049,3442.047607,25660.0
2016-09-07,3699.800049,3699.800049,3578.350098,3609.850098,3438.047363,15095.0
2016-09-08,3605.0,3739.899902,3605.0,3697.649902,3521.668457,34007.0
2016-09-09,3690.0,3705.5,3568.649902,3623.800049,3451.333252,22598.0
2016-09-12,3565.0,3565.0,3493.100098,3529.050049,3361.092529,27978.0
2016-09-14,3530.0,3612.0,3530.0,3589.5,3418.665527,14552.0
2016-09-15,3570.0,3573.0,3508.0,3522.600098,3385.127686,28398.0
2016-09-16,3556.699951,3639.0,3529.949951,3585.149902,3445.236328,42172.0
2016-09-19,3601.0,3617.149902,3544.050049,3554.300049,3415.590576,21639.0
2016-09-20,3558.0,3558.0,3460.0,3468.100098,3332.754639,22028.0
2016-09-21,3497.0,3510.0,3416.899902,3460.0,3324.970703,28764.0
